date,help,medical_emergency,health,hygiene,fear,death,negative_emotion,sadness,nervousness,confusion,war,fight,healing,movement,leisure,fun,positive_emotion,optimism,sympathy,family,government,modi,economics,business,occupation
3/29,0.016326530612245,0.007755102040816,0.006530612244898,0.000408163265306,0.001632653061224,0.002448979591837,0.009387755102041,0.001632653061224,0.001632653061224,0.002448979591837,0.00530612244898,0.006122448979592,0.006122448979592,0.004489795918367,0.002040816326531,0.001224489795918,0.004897959183673,0.003265306122449,0.000408163265306,0.015510204081633,0.051836734693878,0.003265306122449,0.006530612244898,0.013877551020408,0.008163265306122
3/30,0.024475524475525,0.006993006993007,0.006993006993007,0,0.002497502497503,0.00999000999001,0.011988011988012,0.004495504495505,0.002997002997003,0,0.008491508491509,0.005494505494506,0.006493506493507,0.006493506493507,0.002997002997003,0.001498501498502,0.009490509490509,0.005494505494506,0,0.014485514485515,0.04995004995005,0.003496503496504,0.007492507492508,0.01948051948052,0.003996003996004
3/31,0.012768130745659,0.007150153217569,0.008682328907048,0.002553626149132,0.002553626149132,0.00561797752809,0.009703779366701,0.002042900919305,0.000510725229826,0,0.005107252298264,0.00561797752809,0.007150153217569,0.009703779366701,0.003064351378958,0.001532175689479,0.00561797752809,0.004596527068437,0.000510725229826,0.01123595505618,0.038304392236977,0.002553626149132,0.009193054136874,0.019918283963228,0.012257405515833
04/01/20,0.014589412255106,0.00917048770321,0.010837849103793,0.000833680700292,0.003334722801167,0.00708628595248,0.01417257190496,0.004585243851605,0.002917882451021,0.000833680700292,0.005418924551897,0.005418924551897,0.00708628595248,0.007919966652772,0.002501042100875,0.001250521050438,0.006252605252188,0.008753647353064,0.000833680700292,0.007919966652772,0.048353480616924,0.001667361400584,0.01417257190496,0.0254272613589,0.016673614005836
04/02/20,0.017533606078317,0.014611338398597,0.012857977790766,0.000584453535944,0.007597895967271,0.002337814143776,0.009351256575102,0.001168907071888,0.004091174751607,0,0.004091174751607,0.005260081823495,0.007013442431327,0.002922267679719,0.002337814143776,0.004091174751607,0.002922267679719,0.005844535359439,0,0.007597895967271,0.043834015195792,0.004091174751607,0.008766803039158,0.011689070718878,0.008182349503215
04/03/20,0.022357723577236,0.015582655826558,0.019647696476965,0,0.003387533875339,0.01219512195122,0.016260162601626,0.004065040650407,0.001355013550136,0.000677506775068,0.00609756097561,0.002710027100271,0.011517615176152,0.002710027100271,0.00609756097561,0,0.005420054200542,0.005420054200542,0.000677506775068,0.008130081300813,0.035907859078591,0.003387533875339,0.008130081300813,0.012872628726287,0.004742547425474
04/04/20,0.012734082397004,0.012734082397004,0.013483146067416,0.001498127340824,0.000749063670412,0.002996254681648,0.008239700374532,0.002996254681648,0,0.005992509363296,0.00749063670412,0.005992509363296,0.005992509363296,0.002996254681648,0.012734082397004,0.01123595505618,0.005243445692884,0.002996254681648,0,0.012734082397004,0.075655430711611,0.00374531835206,0.023220973782772,0.024719101123596,0.008239700374532
04/05/20,0.016597510373444,0.003457814661134,0.005532503457815,0.003457814661134,0.001383125864454,0.008990318118949,0.016597510373444,0.003457814661134,0,0,0.012448132780083,0.012448132780083,0.004840940525588,0.006915629322268,0.003457814661134,0.002074688796681,0.012448132780083,0.006915629322268,0.001383125864454,0.005532503457815,0.047026279391425,0.001383125864454,0.013831258644537,0.016597510373444,0.003457814661134
04/06/20,0.021787709497207,0.013966480446927,0.020111731843576,0.006703910614525,0.001675977653631,0.001117318435754,0.026815642458101,0.003351955307263,0.000558659217877,0,0.006145251396648,0.006703910614525,0.010614525139665,0.004469273743017,0.011731843575419,0.001675977653631,0.018994413407821,0.005027932960894,0.000558659217877,0.009497206703911,0.050837988826816,0.001675977653631,0.014525139664805,0.010055865921788,0.020111731843576
04/07/20,0.015195791934541,0.014611338398597,0.014611338398597,0.001168907071888,0.002922267679719,0.009351256575102,0.015195791934541,0.002337814143776,0.001753360607832,0.001168907071888,0.011689070718878,0.007013442431327,0.015195791934541,0.002922267679719,0.004675628287551,0.001168907071888,0.012857977790766,0.008766803039158,0.001168907071888,0.014611338398597,0.050263004091175,0.004091174751607,0.006428988895383,0.009351256575102,0.004675628287551
04/08/20,0.02224123182207,0.023096663815227,0.025662959794696,0.00256629597947,0.00256629597947,0.005988023952096,0.008554319931565,0.00256629597947,0.001710863986313,0,0.005988023952096,0.004277159965783,0.008554319931565,0.001710863986313,0.00256629597947,0.000855431993157,0.005988023952096,0.004277159965783,0.000855431993157,0.02480752780154,0.051325919589393,0.004277159965783,0.009409751924722,0.017108639863131,0.018819503849444
04/09/20,0.018530774321641,0.007941760423561,0.013898080741231,0.00132362673726,0.00132362673726,0.00264725347452,0.009265387160821,0.00397088021178,0.00132362673726,0,0.00529450694904,0.010589013898081,0.0066181336863,0.00529450694904,0.00330906684315,0.00066181336863,0.011912640635341,0.0066181336863,0.00198544010589,0.014559894109861,0.059563203176704,0.00264725347452,0.008603573792191,0.009927200529451,0.00529450694904
04/10/20,0.00799314872966,0.005709391949757,0.006851270339709,0.000856408792464,0.002854695974879,0.005709391949757,0.013131601484442,0.003711104767342,0.001141878389951,0.000856408792464,0.006851270339709,0.006565800742221,0.003711104767342,0.005138452754782,0.004282043962318,0.000570939194976,0.008564087924636,0.00799314872966,0.001141878389951,0.024264915786469,0.06565800742221,0.003140165572367,0.00799314872966,0.0094204967171,0.009705966314588
04/11/20,0.010125957026426,0.006915287725364,0.007409236848605,0.00074092368486,0.003210669301062,0.005680414917264,0.007409236848605,0.001975796492961,0.001481847369721,0.00074092368486,0.005927389478884,0.003457643862682,0.010125957026426,0.003951592985922,0.003210669301062,0.001975796492961,0.005433440355643,0.004692516670783,0.001234872808101,0.008397135095085,0.081748579896271,0.006668313163744,0.006915287725364,0.012348728081008,0.007903185971845
04/12/20,0.010443127293254,0.003669206886819,0.005644933672029,0.000564493367203,0.002257973468812,0.003951453570421,0.008467400508044,0.00197572678521,0.00197572678521,0.001128986734406,0.004233700254022,0.002822466836015,0.006491673722834,0.002822466836015,0.003104713519616,0.001411233418007,0.00762066045724,0.004515946937623,0.000564493367203,0.005362686988428,0.077053344623201,0.005362686988428,0.007338413773638,0.012136607394863,0.003669206886819
4/13,0.011009751494181,0.008807801195344,0.008493236866939,0.001572821642026,0.002201950298836,0.004718464926077,0.012582573136206,0.001258257313621,0.001887385970431,0.00062912865681,0.006605850896508,0.006920415224914,0.005347593582888,0.001258257313621,0.003460207612457,0.003460207612457,0.007234979553319,0.002831078955646,0.000943692985215,0.011953444479396,0.080843032400126,0.008178672538534,0.003774771940862,0.016671909405474,0.00912236552375
4/14,0.018790849673203,0.00531045751634,0.004084967320261,0.001225490196078,0.005718954248366,0.006127450980392,0.015114379084967,0.002859477124183,0.002042483660131,0,0.008578431372549,0.008578431372549,0.004084967320261,0.00531045751634,0.00531045751634,0.002450980392157,0.006944444444444,0.00531045751634,0.000816993464052,0.026552287581699,0.070261437908497,0.008578431372549,0.011846405228758,0.019199346405229,0.008986928104575
4/15,0.011477761836442,0.009325681492109,0.010043041606887,0.000717360114778,0.002152080344333,0.005738880918221,0.013629842180775,0.004304160688666,0,0,0.01219512195122,0.006456241032999,0.005021520803443,0.003586800573888,0.005021520803443,0.002152080344333,0.008608321377331,0.003586800573888,0.000717360114778,0.007890961262554,0.069583931133429,0.004304160688666,0.013629842180775,0.01219512195122,0.005738880918221
4/16,0.01516300227445,0.00303260045489,0.011372251705838,0.001516300227445,0.00606520090978,0.005307050796058,0.011372251705838,0.007581501137225,0.005307050796058,0.001516300227445,0.00303260045489,0.003790750568613,0.010614101592115,0.006823351023503,0.013646702047005,0.00303260045489,0.014404852160728,0.006823351023503,0.000758150113723,0.036391205458681,0.040940106141016,0.002274450341168,0.006823351023503,0.013646702047005,0.009855951478393
